naslov,stran na kateri je fic
An Atomic Jaunt,SB
Broken Adventure,SV
Death and what comes after,SB
Devil&apos;s Cry,SB
Donjon,SB
Donjon,SV
Donjon,AO3
Fallen Leaves On My Path,SB
Fury of a Worm,SB
Golden Oaks,SB
House Baratheon of Brockton Bay,SB
House Baratheon of Brockton Bay,FF
Lend Me Your Ears,SB
Little Things,FF
Night,FF
Path to Heaven,SB
Pay it Forward,SB
"Picture, If You Will...",SV
"Picture, If You Will...",SB
"Picture, If You Will...",FF
[REDACTED],SB
Teacher&apos;s Pet,SB
Teacher&apos;s Pet,SV
A Trilogy Without Save Files to Abuse,SB
A Trilogy Without Save Files to Abuse,SV
Vacate,FF
"When a Tri-Wizard Fails, Try Spiders Instead",SB
"When a Tri-Wizard Fails, Try Spiders Instead",FF
Worm quest for a future undetermined,SV
Ascended Threat,FF
A Dovahkiin without Dragon Souls to spend,SB
A Dovahkiin without Dragon Souls to spend,SV
The Dynamite Duo,AO3
End Game,FF
Sole Survivor without a radioactive wasteland to roam,SV
Sole Survivor without a radioactive wasteland to roam,SB
Escalation is the best solution,FF
nIce Girl,FF
Confrontation II: the Reckoning,SB
Confrontation II: the Reckoning,QQ
Confrontation II: the Reckoning,FF
Confrontation II: the Reckoning,SV
FateKaleid Prisma Taylor,SB
FateKaleid Prisma Taylor,FF
I Am Ziz,QQ
I Am Ziz,FF
Magical Girl Lyrical Taylor,SB
Magical Girl Lyrical Taylor,FF
Magical Girl Lyrical Taylor,SV
Markala&apos;s Unruly Idea &amp; Snip Lagomorph Lot,SB
Mysteries and Magecraft,FF
Mysteries and Magecraft,SB
Skiv,SB
Skiv,FF
Sowing Doubt,SB
A Tail of Transmogrification,SB
A Tail of Transmogrification,FF
Taylor Made Venom,SB
Taylor Made Venom,AO3
Taylor Made Venom,FF
Taylor Made Venom,SV
A utopian dream,SB
Abaddon Born(e),SB
Abaddon Born(e),FF
Abaddon Born(e),SV
All the Time to Lose,AO3
Any Means Necessary,SV
Any Means Necessary,SB
Any Means Necessary,FF
Ask Not the Sparrow How the Eagle Soars!,FF
A Bad Name,SB
Bigger and Better Bugs,SV
The Birds That Don&apos;t Rise,SB
Blanket aka The Diaper Changer,SV
Bloody Stars,SB
Bone Deep,SB
Bone Deep,AO3
Bringing a Pickaxe to a Power Fight,SB
Brockton 10-0,SB
Burn,SB
Camera Shy,SB
"The Cat, Witch and the Wormholes",SB
Chimera,SB
Chimera,AO3
Chimera,FF
Chimera,wattpad
Chosen,SB
Collector,SB
Collector,SV
Collector,QQ
Confinement,SB
Conflagration,SB
Consequences,SB
the crazy green tinker of brockton,FF
Cult of Escalation,SB
Dragon&apos;s Teeth,SB
East of Eden: A New Twist on an Old Cycle,SB
Empress Ascendant,FF
The Empress of Escalation,SB
